Date,GDP (in  millions of GBP),Unemployment Rate (%),Inflation Rate (%),CPI,Trade Balance (Goods) (in  millions of GBP),Trade Balance (Services) (in  millions of GBP),Trade Balance (Overall) (in  millions of GBP),Retail Sales (in  millions of GBP),Housing Starts (Started),Housing Starts (Completed)
01/01/1970,63891.1,3.9,5.5,38.5,470,-124,346,414,223,187
01/04/1970,65146.8,4,6.2,38.9,476,-126,350,418,226,190
01/07/1970,66055.5,4.1,6.1,39.3,481,-127,354,422,229,193
01/10/1970,66744.6,4.2,5.7,39.8,484,-128,356,426,231,195
01/01/1971,67414.3,4.3,6,40.2,487,-129,358,430,233,197
01/04/1971,68143.4,4.4,5.6,40.6,490,-130,360,434,236,200
01/07/1971,68784.9,4.5,6.2,41.2,492,-131,361,438,238,202
01/10/1971,69854.5,4.6,6.9,41.8,496,-132,364,442,240,204
01/01/1972,70966.3,4.7,8,42.5,501,-133,368,446,242,206
01/04/1972,71946.4,4.8,8.4,43.1,505,-134,371,450,244,208
01/07/1972,72965.9,4.9,8.2,43.7,510,-135,375,454,246,210
01/10/1972,74100.2,5,7.8,44.2,514,-136,378,458,248,212
01/01/1973,75397.6,5.1,7.4,44.8,517,-137,381,462,250,215
01/04/1973,76741.4,5.2,8.1,45.4,521,-138,383,466,252,218
01/07/1973,78029.8,5.3,8.4,45.9,525,-139,386,470,254,221
01/10/1973,79423.9,5.4,8.8,46.6,529,-140,389,474,256,224
01/01/1974,79724.7,5.5,12,50.4,530,-141,389,478,258,226
01/04/1974,79850.5,5.6,15,54.4,530,-142,388,482,260,229
01/07/1974,79320.2,5.7,16,56.5,529,-143,386,486,262,232
01/10/1974,78547.3,5.8,15.1,54.9,528,-144,384,490,264,235
01/01/1975,77984.3,5.9,13.5,52.8,526,-145,381,494,266,238
01/04/1975,78324.2,6,11,50.9,527,-146,381,498,268,241
01/07/1975,78564.4,6.1,8.4,49.3,528,-147,381,502,270,244
01/10/1975,78712.9,6.2,8.7,49.9,529,-148,381,506,272,247
01/01/1976,78821.1,6.3,9.3,50.6,530,-149,381,510,274,250
01/04/1976,79203.2,6.4,9.9,51.3,531,-150,381,514,276,253
01/07/1976,79744.3,6.5,8.2,49.9,532,-151,381,518,278,256
01/10/1976,80751.3,6.6,6.7,48.6,535,-152,383,522,280,259
01/01/1977,81556.4,6.7,5.4,47.2,538,-153,384,526,282,262
01/04/1977,82554.6,6.8,5.3,47.3,541,-154,386,530,284,265
01/07/1977,83414.7,6.9,6.6,49.2,544,-155,388,534,286,268
01/10/1977,84495.7,7,8.1,51.2,548,-156,392,538,288,271
01/01/1978,85468.6,7.1,9.2,52.6,552,-157,395,542,290,274
01/04/1978,86436.4,7.2,9.3,52.9,556,-158,398,546,292,277
01/07/1978,87298.6,7.3,8.7,52.2,559,-159,401,550,294,280
01/10/1978,88349.9,7.4,7.3,50.7,563,-160,403,554,296,283
01/01/1979,89144.4,7.5,6.8,50,567,-161,406,558,298,286
01/04/1979,89882.4,7.6,8,51.1,570,-162,408,562,300,289
01/07/1979,90849.9,7.7,10,53.1,574,-163,411,566,302,292
01/10/1979,91676.1,7.8,10.8,54.3,577,-164,412,570,304,295
01/01/1980,91784.7,7.9,11.9,56,578,-165,413,574,306,298
01/04/1980,90587.2,8,15,60,574,-166,408,578,308,301
01/07/1980,90087.5,8.1,16,61.9,571,-167,404,582,310,304
01/10/1980,90054.5,8.2,13.5,58.9,570,-168,402,586,312,307
01/01/1981,89987.4,8.3,10.3,55.6,569,-169,399,590,314,310
01/04/1981,89890.8,8.4,9.2,54.4,568,-170,398,594,316,313
01/07/1981,89968.3,8.5,8.6,53.7,568,-171,397,598,318,316
01/10/1981,90258.7,8.6,7.9,53,570,-172,398,602,320,319
01/01/1982,90368.7,8.7,8.9,54.4,571,-173,398,606,322,322
01/04/1982,90555.2,8.8,8.4,53.8,572,-174,398,610,324,325
01/07/1982,90732.2,8.9,7.5,52.5,573,-175,398,614,326,328
01/10/1982,91140.2,9,6.3,50.9,575,-176,399,618,328,331
01/01/1983,91668.1,9.1,4.8,48.5,578,-177,401,622,330,334
01/04/1983,92097.8,9.2,4.7,48.4,581,-178,402,626,332,337
01/07/1983,92639.2,9.3,4.6,48.3,585,-179,406,630,334,340
01/10/1983,93437.9,9.4,4.4,47.7,589,-180,409,634,336,343
01/01/1984,101708.2,10.8,3.8,60.8,670,-182,488,748,203,205
01/04/1984,102630.2,10.6,4.4,61.5,670,-183,487,753,205,208
01/07/1984,103788.6,10.4,5.1,62.3,672,-184,488,758,207,211
01/10/1984,105103.5,10.2,4.4,61.5,674,-185,489,763,209,214
01/01/1985,106523.3,9.9,3.6,60.5,677,-186,491,768,211,217
01/04/1985,108006.7,9.6,3.3,59.9,680,-187,492,774,214,220
01/07/1985,109327.2,9.4,4.4,61.5,682,-188,494,780,217,223
01/10/1985,110712.4,9.1,5.2,62.5,684,-189,495,786,220,226
01/01/1986,112259.4,8.8,4.6,61.8,687,-190,497,792,223,229
01/04/1986,113733.9,8.5,3.7,60.6,689,-191,498,799,226,232
01/07/1986,115127.2,8.3,4,61.1,692,-192,499,805,229,235
01/10/1986,116554.6,8.1,4.4,61.9,695,-193,502,812,232,238
01/01/1987,118093.8,7.9,4.6,62.4,698,-194,504,819,236,241
01/04/1987,119797.1,7.7,5.7,64,701,-195,506,826,240,245
01/07/1987,121582.3,7.5,6.5,65.2,704,-196,508,834,243,249
01/10/1987,123392.8,7.4,6.6,65.4,707,-197,510,842,246,253
01/01/1988,125319.9,7.3,5.4,63.7,711,-198,513,850,249,258
01/04/1988,126764.1,7.2,4.2,61.7,714,-199,515,859,252,262
01/07/1988,128387.1,7,4.6,62.4,718,-200,518,868,256,266
01/10/1988,129967.2,6.8,4.4,62,721,-201,520,877,259,270
01/01/1989,131679.2,6.6,4.2,61.8,725,-202,523,886,262,274
01/04/1989,133469.5,6.4,4.8,62.9,729,-203,526,896,266,278
01/07/1989,135370.3,6.2,7,65.8,734,-204,530,906,270,282
01/10/1989,137322.2,6,7.9,67.6,739,-205,534,917,274,287
01/01/1990,139353.7,5.9,7.9,67.6,745,-206,539,928,278,291
01/04/1990,141321.3,5.8,7.3,66.3,750,-207,543,939,282,295
01/07/1990,142750.8,5.9,8.4,68.5,755,-208,547,950,286,299
01/10/1990,143843.6,6,9.5,70.8,759,-209,550,961,290,303
01/01/1991,144847.1,6.1,7.8,68.3,763,-210,553,973,294,307
01/04/1991,145983.5,6.3,7.3,67,768,-211,556,985,297,311
01/07/1991,147299.4,6.4,6.4,64.7,773,-212,561,998,301,316
01/10/1991,148472.9,6.5,4.2,59.9,777,-213,564,1010,305,321
01/01/1992,149893.3,6.6,3.2,57.8,782,-214,568,1022,305,327
01/04/1992,151422.1,6.8,2.7,56.7,787,-215,572,1035,309,332
01/07/1992,153038.2,7,2.8,56.9,792,-216,576,1048,313,337
01/10/1992,154537.9,7.2,2.7,56.7,797,-217,580,1061,317,342
01/01/1993,156139.7,7.4,2.8,56.9,802,-218,584,1075,321,347
01/04/1993,157813.2,7.5,3.1,57.7,807,-219,588,1088,325,352
01/07/1993,159507.7,7.6,3.1,57.6,812,-220,592,1102,329,357
01/10/1993,161114.4,7.7,3.3,58.3,817,-221,596,1116,333,362
01/01/1994,162814.5,7.7,2.4,56.1,822,-222,600,1130,337,368
01/04/1994,164613.8,7.6,2,55.2,827,-223,604,1144,341,373
01/07/1994,166451.6,7.5,1.6,54.3,832,-224,608,1158,345,379
01/10/1994,168278.6,7.4,1.2,53.2,836,-225,611,1173,349,385
01/01/1995,170107.6,7.3,1.1,53,841,-226,615,1187,353,391
01/04/1995,171972.9,7.2,1.5,54,846,-227,619,1202,357,397
01/07/1995,173895.2,7.1,2.4,56.1,851,-228,623,1217,361,403
01/10/1995,175902.2,7,2.4,56.2,856,-229,627,1233,365,409
01/01/1996,177957.8,6.9,2.5,56.6,861,-230,631,1248,369,415
01/04/1996,180055.9,6.8,2.5,56.5,866,-231,635,1264,373,422
01/07/1996,182269.4,6.7,2.6,56.8,871,-232,639,1280,377,429
01/10/1996,184527.8,6.6,2.7,56.9,876,-233,643,1296,381,436
01/01/1997,186889.6,6.5,2.6,56.7,882,-234,647,1313,385,443
01/04/1997,189244.1,6.4,2.6,56.7,888,-235,652,1330,389,450
01/07/1997,191695.5,6.3,2.4,56.2,893,-236,657,1347,394,458
01/10/1997,194181.4,6.2,2,55.3,899,-237,662,1365,399,466
01/01/1998,196756.7,6,1.8,54.6,904,-238,666,1384,405,474
01/04/1998,199438.2,5.9,1.7,54.4,910,-239,671,1402,410,483
01/07/1998,202198.5,5.8,1.9,54.9,915,-240,675,1420,416,491
01/10/1998,204928.5,5.7,2,55.3,921,-241,680,1439,422,500
01/01/1999,207663.1,5.6,2,55.1,927,-242,685,1458,428,509
01/04/1999,210349.3,5.5,1.5,54.1,933,-243,690,1477,434,518
01/07/1999,213206.7,5.4,1.3,53.5,939,-244,695,1497,441,527
01/10/1999,216016.4,5.3,1.4,53.8,945,-245,700,1517,448,537
01/01/2000,218786.3,5.2,2.1,55.6,951,-246,705,1538,456,548
01/04/2000,221511.1,5.1,1.9,55.3,958,-247,711,1560,464,558
01/07/2000,224290.5,5,2,55.6,964,-248,716,1582,472,569
01/10/2000,227048.6,5,2.5,56.5,971,-249,722,1604,481,580
01/01/2001,229815.3,5.1,3,57.4,978,-250,728,1626,490,591
01/04/2001,232575.2,5.2,2.9,57.2,985,-251,734,1648,499,602
01/07/2001,235318.7,5.3,1.9,55.4,992,-252,740,1671,508,614
01/10/2001,238075.3,5.4,2.2,55.9,999,-253,746,1693,518,626
01/01/2002,240836.4,5.5,1.4,54.5,1006,-254,752,1716,528,638
01/04/2002,243629.9,5.6,1.3,54.3,1013,-255,758,1739,538,650
01/07/2002,246498.3,5.7,1.2,54.1,1020,-256,764,1762,548,662
01/10/2002,249317.2,5.8,1.4,54.6,1027,-257,770,1785,558,674
01/01/2003,252155.3,5.9,1.6,54.9,1034,-258,776,1808,568,686
01/04/2003,255033.8,6,1.4,54.4,1041,-259,782,1831,579,698
01/07/2003,258024.1,6.1,1.3,54.3,1048,-260,789,1855,590,711
01/10/2003,261013,6,1.1,53.7,1055,-261,794,1878,601,724
01/01/2004,263965.1,5.9,1.3,54.2,1062,-262,800,1901,612,737
01/04/2004,266921.4,5.8,1.5,54.6,1069,-263,806,1925,624,750
01/07/2004,269879.1,5.7,1.4,54.4,1076,-264,812,1948,636,763
01/10/2004,272825.1,5.6,1.2,53.9,1083,-265,818,1971,648,776
01/01/2005,275868,5.5,1.9,55.3,1090,-266,824,1995,661,790
01/04/2005,279012.9,5.4,2,55.4,1097,-267,830,2019,674,804
01/07/2005,282252.9,5.3,2.3,55.9,1104,-268,836,2043,688,818
01/10/2005,285540.2,5.2,2.1,55.6,1111,-269,842,2067,702,832
01/01/2006,288882.4,5.1,1.9,55.2,1118,-270,848,2091,716,867
01/04/2006,292096.5,5,2,55.4,1125,-271,854,2116,731,883
01/07/2006,295424.1,4.8,2.4,56.1,1132,-272,860,2141,746,899
01/10/2006,298871.5,4.6,2.3,55.9,1139,-273,866,2166,761,915
01/01/2007,302393.9,4.5,2.7,56.7,1146,-274,872,2192,776,931
01/04/2007,305995.5,4.5,2.5,56.3,1153,-275,878,2217,792,948
01/07/2007,309693.7,4.7,1.8,54.7,1160,-276,884,2243,808,965
01/10/2007,313409.8,5,2.1,55.3,1167,-277,890,2269,825,982
01/01/2008,316179,5.2,3.1,56.9,1174,-278,896,2295,842,999
01/04/2008,318988.5,5.4,3.3,57.4,1181,-279,902,2322,860,1017
01/07/2008,321876.4,5.6,4.4,59.2,1188,-280,908,2349,878,1035
01/10/2008,324958.1,6,3.7,58,1195,-281,914,2376,897,1054
01/01/2009,323917.3,6.3,0.6,51.8,1202,-282,920,2404,916,1073
01/04/2009,321428.4,7.7,-1.2,47.3,1209,-283,925,2427,930,1089
01/07/2009,324925.4,7.9,1.8,55.7,1216,-284,932,2450,944,1105
01/10/2009,329577.4,8.1,1.1,54.6,1223,-285,938,2474,959,1122
01/01/2010,333230.5,8,2.9,58.1,1230,-286,944,2498,974,1140
01/04/2010,336124.4,7.9,3.4,59.2,1237,-287,950,2523,990,1158
01/07/2010,339065,7.7,3.2,58.7,1244,-288,956,2548,1007,1176
01/10/2010,342103.4,7.5,3.1,58.5,1251,-289,962,2573,1024,1194
01/01/2011,345233.6,7.4,4.5,61.5,1258,-290,968,2599,1041,1212
01/04/2011,348431.5,7.3,4,60.6,1265,-291,974,2626,1058,1230
01/07/2011,351576.7,7.3,4.4,61.4,1272,-292,980,2653,1075,1248
01/10/2011,354689.9,7.4,4.8,62.2,1279,-293,986,2680,1093,1266
01/01/2012,357811.9,7.9,3.6,60.6,1286,-294,992,2707,1110,1284
01/04/2012,361043.4,8.2,3.5,60.6,1293,-295,998,2734,1128,1302
01/07/2012,364280.9,8,2.4,59.4,1300,-296,1004,2762,1146,1321
01/10/2012,367642.9,7.8,2.2,59,1307,-297,1010,2790,1164,1339
01/01/2013,371073.1,7.8,2.7,59.8,1314,-298,1016,2819,1183,1358
01/04/2013,373689.8,7.6,2.4,59.4,1321,-299,1022,2847,1202,1376
01/07/2013,376367.2,7.4,2.8,60.1,1328,-300,1028,2875,1221,1395
01/10/2013,379173,7.2,2.7,60.1,1335,-301,1034,2904,1240,1414
01/01/2014,382004.8,7.1,1.9,58.8,1342,-302,1040,2932,1259,1433
01/04/2014,384995.6,6.8,1.8,58.7,1349,-303,1046,2961,1278,1452
01/07/2014,388140.8,6.4,1.5,58,1356,-304,1052,2990,1297,1471
01/10/2014,391456.2,6,1.2,57.5,1363,-305,1058,3020,1316,1490
01/01/2015,394851.1,5.7,0.5,56.6,1370,-306,1064,3050,1335,1509
01/04/2015,398335.5,5.5,0,56,1377,-307,1070,3080,1354,1528
01/07/2015,401917.1,5.4,-0.1,55.8,1384,-308,1076,3110,1373,1547
01/10/2015,405594.3,5.3,0.1,56.1,1391,-309,1082,3140,1392,1566
01/01/2016,409355.3,5.1,0.3,56.6,1398,-310,1088,3171,1411,1585
01/04/2016,413200.8,4.9,0.3,56.7,1405,-311,1094,3201,1430,1604
01/07/2016,417130.6,4.8,0.5,57.1,1412,-312,1100,3232,1449,1623
01/10/2016,421145.8,4.8,1,58,1419,-313,1106,3263,1468,1642
01/01/2017,425246.5,4.7,1.8,59.4,1426,-314,1112,3295,1487,1661
01/04/2017,429432.1,4.6,2.3,60.3,1433,-315,1118,3327,1506,1680
01/07/2017,433702.3,4.5,2.6,60.8,1440,-316,1124,3359,1525,1699
01/10/2017,438056.9,4.3,3,61.5,1447,-317,1130,3391,1544,1718
01/01/2018,442496.4,4.2,3,61.4,1454,-318,1136,3423,1563,1737
01/04/2018,447020.1,4.2,2.5,60.6,1461,-319,1142,3456,1582,1756
01/07/2018,451628.9,4,2.4,60.4,1468,-320,1148,3488,1601,1775
01/10/2018,456322.9,4,2.5,60.7,1475,-321,1154,3521,1620,1794
01/01/2019,461102.4,3.9,1.8,59.6,1482,-322,1160,3554,1639,1813
01/04/2019,465967.3,3.8,2.1,59.9,1489,-323,1166,3588,1658,1832
01/07/2019,470916.2,3.8,2,59.7,1496,-324,1172,3622,1677,1851
01/10/2019,475949.2,3.8,1.5,59,1503,-325,1178,3656,1696,1870
01/01/2020,481066.5,3.8,1.3,58.6,1510,-326,1184,3691,1715,1889
01/04/2020,486268.6,3.9,0.8,58,1517,-327,1190,3726,1734,1908
01/07/2020,491555.3,4.3,0.6,57.7,1524,-328,1196,3761,1753,1927
01/10/2020,496926.9,4.8,0.5,57.6,1531,-329,1202,3796,1772,1946
01/01/2021,502383.7,5,0.7,57.8,1538,-330,1208,3832,1791,1965
01/04/2021,507925.4,4.9,1.5,58.8,1545,-331,1214,3868,1810,1984
01/07/2021,513552.4,4.7,2,59.4,1552,-332,1220,3904,1829,2003
